Area;Number;Designation;GroupID;Visible;Latitude;LatitudeDecimal;Longitud;LongitudeDecimal;Height (ft);Elevation (ft);Lighting;Type of obstacle;;;;
55N 13E;3811;TROLLEBERG;;Y;554159;55,69972222;130756;13,13222222;328;371;F R;Wind turbine;;;;
55N 13E;5188;ASSMSA;;Y;553302;55,55055556;134531;13,75861111;328;541;F R;Wind turbine;;;;
55N 13E;5189;ASSMSA;;Y;553301;55,55027778;134544;13,76222222;328;541;F R;Wind turbine;;;;
55N 13E;5190;ASSMSA;;Y;553257;55,54916667;134556;13,76555556;328;541;F R;Wind turbine;;;;
55N 13E;6563;SKIBAR…D;;Y;554813;55,80361111;133250;13,54722222;384;741;F R;Wind turbine;;;;
55N 13E;6564;V€STRABY;;Y;554754;55,79833333;133236;13,54333333;384;784;F R;Wind turbine;;;;
55N 13E;6565;V€STRABY;;Y;554807;55,80194444;133235;13,54305556;384;748;F R;Wind turbine;;;;
55N 13E;6566;V€STRABY;;Y;554801;55,80027778;133251;13,5475;384;768;F R;Wind turbine;;;;
55N 13E;6880;NYGRDSHUS;;Y;554950;55,83055556;132611;13,43638889;394;715;F R;Wind turbine;;;;
55N 13E;6881;NYGRDSHUS;;Y;554959;55,83305556;132611;13,43638889;394;702;F R;Wind turbine;;;;
55N 13E;6882;NYGRDSHUS;;Y;555008;55,83555556;132611;13,43638889;394;692;F R;Wind turbine;;;;
55N 13E;6883;NYGRDSHUS;;Y;555017;55,83805556;132612;13,43666667;394;692;F R;Wind turbine;;;;
55N 13E;6884;NYGRDSHUS;;Y;555026;55,84055556;132612;13,43666667;394;692;F R;Wind turbine;;;;
55N 13E;8222;GETINGE;;Y;554515;55,75416667;131727;13,29083333;331;463;F R;Wind turbine;;;;
55N 13E;8223;GETINGE;;Y;554533;55,75916667;131750;13,29722222;331;463;F R;Wind turbine;;;;
55N 13E;8224;GETINGE;;Y;554543;55,76194444;131804;13,30111111;331;463;F R;Wind turbine;;;;
55N 13E;8321;V€RLINGE;;Y;555319;55,88861111;132318;13,38833333;390;673;F R;Wind turbine;;;;
55N 13E;8322;V€RLINGE;;Y;555316;55,88777778;132334;13,39277778;390;679;F R;Wind turbine;;;;
55N 13E;8734;PLATFORM FINO 2;;Y;550025;55,00694444;130906;13,15166667;340;340;F R;Tower, Platform;;;;
55N 13E;8830;MALM…;;Y;553734;55,62611111;130227;13,04083333;328;338;F R;Chimney;;;;
55N 13E;9003;LUND;;Y;554418;55,73833333;131514;13,25388889;331;584;F R;Wind turbine;;;;
55N 13E;9004;LUND;;Y;554424;55,74;131530;13,25833333;331;581;F R;Wind turbine;;;;
55N 13E;9005;LUND;;Y;554429;55,74138889;131545;13,2625;331;545;F R;Wind turbine;;;;
55N 13E;9183;MALM…;;Y;553756;55,63222222;130042;13,01166667;394;397;F R;Wind turbine;;;;
55N 13E;9255;N€SBYHOLM;;Y;552703;55,45083333;132813;13,47027778;331;499;F R;Wind turbine;;;;
