Area;Number;Designation;GroupID;Visible;Latitude;LatitudeDecimal;Longitud;LongitudeDecimal;Height (ft);Elevation (ft);Lighting;Type of obstacle
55N 12E;8954;LILLGRUND;2;Y;553021;55,5058333333;124542;12,7616666667;377;377;F R;Wind turbine
55N 12E;8955;LILLGRUND;2;Y;553105;55,5180555556;124625;12,7736111111;377;377;F R;Wind turbine
55N 12E;8956;LILLGRUND;2;Y;553055;55,5152777778;124611;12,7697222222;377;377;F R;Wind turbine
55N 12E;8957;LILLGRUND;2;Y;553045;55,5125;124556;12,7655555556;377;377;F R;Wind turbine
55N 12E;8958;LILLGRUND;2;Y;553036;55,51;124541;12,7613888889;377;377;F R;Wind turbine
55N 12E;8959;LILLGRUND;2;Y;553120;55,5222222222;124624;12,7733333333;377;377;F R;Wind turbine
55N 12E;8960;LILLGRUND;2;Y;553110;55,5194444444;124610;12,7694444444;377;377;F R;Wind turbine
55N 12E;8961;LILLGRUND;2;Y;553100;55,5166666667;124555;12,7652777778;377;377;F R;Wind turbine
55N 12E;8962;LILLGRUND;2;Y;553050;55,5138888889;124541;12,7613888889;377;377;F R;Wind turbine
55N 12E;8963;LILLGRUND;2;Y;553125;55,5236111111;124609;12,7691666667;377;377;FLG R;Wind turbine
55N 12E;8964;LILLGRUND;2;Y;553105;55,5180555556;124540;12,7611111111;377;377;FLG R;Wind turbine
55N 12E;8965;LILLGRUND;2;Y;553115;55,5208333333;124554;12,765;377;377;F R;Wind turbine
55N 12E;8967;LILLGRUND;2;Y;553031;55,5086111111;124557;12,7658333333;377;377;F R;Wind turbine
55N 12E;8968;LILLGRUND;2;Y;553115;55,5208333333;124640;12,7777777778;377;377;FLG R;Wind turbine
55N 12E;9073;LANDSKRONA;;Y;555141;55,8613888889;125231;12,8752777778;410;417;F R;Wind turbine
55N 12E;9074;LANDSKRONA;;Y;555128;55,8577777778;125137;12,8602777778;410;423;F R;Wind turbine
55N 12E;9301;OTTARP;;Y;555708;55,9522222222;125726;12,9572222222;328;554;F R;Wind turbine
55N 12E;10892;LANDSKRONA;;Y;555232;55,8755555556;125349;12,8969444444;410;466;FLG R;Wind turbine
55N 12E;10893;LANDSKRONA;;Y;555236;55,8766666667;125414;12,9038888889;410;456;FLG R;Wind turbine
55N 12E;10894;LANDSKRONA;;Y;555241;55,8780555556;125439;12,9108333333;410;456;FLG R;Wind turbine
55N 13E;9;HÖRBY 1;;Y;554822,2;55,8061666667;134315,7;13,7210277778;1060;1586;F R/FLG W;Pylon
55N 13E;10;HÖRRÖD;;Y;554715,4;55,7876111111;135845,9;13,9794166667;358;946;F R;Mast
55N 13E;12;TRELLEBORG;;Y;552321,6;55,3893333333;131146,9;13,1963611111;328;420;F R;Mast
55N 13E;13;BÖSARP;;Y;552442,4;55,4117777778;131730;13,2916666667;361;498;F R/FLG W;Mast
55N 13E;685;SVEDALA;;Y;552842;55,4783333333;131613,3;13,2703611111;354;615;F R;Mast
55N 13E;753;MAGLARP;;Y;552323,4;55,3898333333;130347,6;13,0632222222;394;432;F R/FLG W;Pylon
55N 13E;945;MALMÖ JÄGERSRO;;Y;553424,3;55,5734166667;130324,1;13,0566944444;351;407;F R;Tower
55N 13E;1080;MALMÖ/HELENEHOLMSVERKET;;Y;553440;55,5777777778;130044;13,0122222222;427;469;F R;Chimney
55N 13E;1462;MALMÖ/ ÖRESUNDSVERKET;;Y;553732;55,6255555556;130220;13,0388888889;328;338;-;Chimney
55N 13E;3811;TROLLEBERG;;Y;554159;55,6997222222;130756;13,1322222222;328;371;F R;Wind turbine
55N 13E;5188;ASSMÅSA;;Y;553302;55,5505555556;134531;13,7586111111;328;541;F R;Wind turbine
55N 13E;5189;ASSMÅSA;;Y;553301;55,5502777778;134544;13,7622222222;328;541;F R;Wind turbine
55N 13E;5190;ASSMÅSA;;Y;553257;55,5491666667;134556;13,7655555556;328;541;F R;Wind turbine
55N 13E;6563;SKIBARÖD;;Y;554813;55,8036111111;133250;13,5472222222;384;741;F R;Wind turbine
55N 13E;6564;VÄSTRABY;;Y;554754;55,7983333333;133236;13,5433333333;384;784;F R;Wind turbine
55N 13E;6565;VÄSTRABY;;Y;554807;55,8019444444;133235;13,5430555556;384;748;F R;Wind turbine
55N 13E;6566;VÄSTRABY;;Y;554801;55,8002777778;133251;13,5475;384;768;F R;Wind turbine
55N 13E;6880;NYGÅRDSHUS;;Y;554950;55,8305555556;132611;13,4363888889;394;715;F R;Wind turbine
55N 13E;6881;NYGÅRDSHUS;;Y;554959;55,8330555556;132611;13,4363888889;394;702;F R;Wind turbine
55N 13E;6882;NYGÅRDSHUS;;Y;555008;55,8355555556;132611;13,4363888889;394;692;F R;Wind turbine
55N 13E;6883;NYGÅRDSHUS;;Y;555017;55,8380555556;132612;13,4366666667;394;692;F R;Wind turbine
