Name code designator;Visible;Latitude;LatitudeDecimal;Longitud;LongitudeDecimal;FRA relevance;Remark/Usage
UMSOM;Y;631955,4;63,33205556;200220,8;20,03911111;;
UMTON;Y;583242;58,545;142020;14,33888889;(AD);(A): ESSB
UNGAV;Y;545500;54,91666667;135941;13,99472222;(X);
UNKAS;Y;645309;64,88583333;201909,9;20,31941667;;
UPEVA;Y;663714;66,62055556;173644;17,61222222;;
UPLAX;Y;560634,8;56,10966667;125735,4;12,95983333;;
USIKI;Y;661527;66,2575;152342;15,395;(EX);
VADIN;Y;570816;57,13777778;113838;11,64388889;(D);ESGG, ESGP
VAGAS;Y;672057,2;67,34922222;200907,7;20,15213889;;
VAKTA;Y;565432,3;56,90897222;132425,4;13,40705556;;
VALAK;Y;632507;63,41861111;203427;20,57416667;(EX);
VATEX;Y;591903;59,3175;114914;11,82055556;(EX);
VEDAR;Y;563154;56,53166667;120725;12,12361111;(AD);(A): ESGG, ESGP
VEDEN;Y;563154;56,53166667;185236;18,87666667;(EX);
VEMAS;Y;574811,7;57,80325;121217,7;12,20491667;;
VENDA;Y;643214,5;64,53736111;210104;21,01777778;;
VEPAX;Y;574934,9;57,82636111;182750;18,46388889;;
VERAG;Y;650731,9;65,12552778;215913,5;21,98708333;;
VESER;Y;651120;65,18888889;154047;15,67972222;;
VIBAR;Y;573441,3;57,57813889;162326,3;16,39063889;(AD);(A): ESSA, ESSB
XELVI;Y;612959,1;61,49975;124004,5;12,66791667;(EX);
XENTA;Y;584129,2;58,69144444;112857,8;11,48272222;(AD);(A): ENGM, ENRY, ENTO
XIDMI;Y;594304;59,71777778;115612;11,93666667;(EX);
XILAN;Y;593933,5;59,65930556;190433,8;19,07605556;;
XONTU;Y;655626;65,94055556;240436;24,07666667;(E);
