Area	Number	Designation	Latitude	Longitude	Height (ft)	Elevation (ft)	Lighting	Type of obstacle				
55N 12E	8948	LILLGRUND	553016N	0124558E	377	377	F R	Wind turbine				
55N 12E	8949	LILLGRUND	553006N	0124543E	377	377	FLG R	Wind turbine				
55N 12E	8950	LILLGRUND	553120N	0124709E	377	377	FLG R	Wind turbine				
55N 12E	8951	LILLGRUND	553111N	0124655E	377	377	F R	Wind turbine				
55N 12E	8952	LILLGRUND	553101N	0124641E	377	377	F R	Wind turbine				
55N 12E	8953	LILLGRUND	553051N	0124626E	377	377	F R	Wind turbine				
55N 12E	8954	LILLGRUND	553021N	0124542E	377	377	F R	Wind turbine				
55N 12E	8955	LILLGRUND	553105N	0124625E	377	377	F R	Wind turbine				
55N 12E	8956	LILLGRUND	553055N	0124611E	377	377	F R	Wind turbine				
55N 12E	8957	LILLGRUND	553045N	0124556E	377	377	F R	Wind turbine				
55N 12E	8958	LILLGRUND	553036N	0124541E	377	377	F R	Wind turbine				
55N 12E	8959	LILLGRUND	553120N	0124624E	377	377	F R	Wind turbine				
55N 12E	8960	LILLGRUND	553110N	0124610E	377	377	F R	Wind turbine				
55N 12E	8961	LILLGRUND	553100N	0124555E	377	377	F R	Wind turbine				
55N 12E	8962	LILLGRUND	553050N	0124541E	377	377	F R	Wind turbine				
55N 12E	8963	LILLGRUND	553125N	0124609E	377	377	FLG R	Wind turbine				
55N 12E	8964	LILLGRUND	553105N	0124540E	377	377	FLG R	Wind turbine				
55N 12E	8965	LILLGRUND	553115N	0124554E	377	377	F R	Wind turbine				
55N 12E	8967	LILLGRUND	553031N	0124557E	377	377	F R	Wind turbine				
55N 12E	8968	LILLGRUND	553115N	0124640E	377	377	FLG R	Wind turbine				
55N 12E	9073	LANDSKRONA	555141N	0125231E	410	417	F R	Wind turbine				
55N 12E	9074	LANDSKRONA	555128N	0125137E	410	423	F R	Wind turbine				
55N 12E	9301	OTTARP	555708N	0125726E	328	554	F R	Wind turbine				
55N 12E	10892	LANDSKRONA	555232N	0125349E	410	466	FLG R	Wind turbine				
55N 12E	10893	LANDSKRONA	555236N	0125414E	410	456	FLG R	Wind turbine				
55N 12E	10894	LANDSKRONA	555241N	0125439E	410	456	FLG R	Wind turbine				
55N 13E	9	HÖRBY 1	554822.2N	0134315.7E	1060	1586	F R/FLG W	Pylon				
55N 13E	10	HÖRRÖD	554715.4N	0135845.9E	358	946	F R	Mast				
55N 13E	12	TRELLEBORG	552321.6N	0131146.9E	328	420	F R	Mast				
55N 13E	13	BÖSARP	552442.4N	0131730.0E	361	498	F R/FLG W	Mast				
55N 13E	685	SVEDALA	552842.0N	0131613.3E	354	615	F R	Mast				
55N 13E	753	MAGLARP	552323.4N	0130347.6E	394	432	F R/FLG W	Pylon				
55N 13E	945	MALMÖ JÄGERSRO	553424.3N	0130324.1E	351	407	F R	Tower				
55N 13E	1080	MALMÖ/HELENEHOLMSVERKET	553440N	0130044E	427	469	F R	Chimney				
55N 13E	1462	MALMÖ/ ÖRESUNDSVERKET	553732N	0130220E	328	338	-	Chimney				
55N 13E	3811	TROLLEBERG	554159N	0130756E	328	371	F R	Wind turbine				
55N 13E	5188	ASSMÅSA	553302N	0134531E	328	541	F R	Wind turbine				
55N 13E	5189	ASSMÅSA	553301N	0134544E	328	541	F R	Wind turbine				
55N 13E	5190	ASSMÅSA	553257N	0134556E	328	541	F R	Wind turbine				
55N 13E	6563	SKIBARÖD	554813N	0133250E	384	741	F R	Wind turbine				
55N 13E	6564	VÄSTRABY	554754N	0133236E	384	784	F R	Wind turbine				
55N 13E	6565	VÄSTRABY	554807N	0133235E	384	748	F R	Wind turbine				
55N 13E	6566	VÄSTRABY	554801N	0133251E	384	768	F R	Wind turbine				
